scraped_at,part_key,material_key,product_name,supplier,raw_price_lkr,unit_factor,normalized_rate_lkr,url
2026-08-10T09:48:19+00:00,door_count,tempered_glass_12mm,Tempered Glass Door 12mm,,19500.0,1.0,19500.0,https://stockpile.lk/en/tempered-glass-door-12mm.html
2026-08-10T09:48:19+00:00,door_count,tempered_glass_12mm,Tempered Glass Door Fittings,,18000.0,1.0,18000.0,https://stockpile.lk/en/hydra-glass-tempered-glass-door-fittings.html
2026-08-10T09:48:19+00:00,door_count,wood_composite,Sealcore Painted Wood Composite Door,,10792.999801,1.0,10793.0,https://stockpile.lk/en/mascons-sealcore-wood-polymer-composite-door-painted.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door 8/6/3 Panels,,27500.0,1.0,27500.0,https://stockpile.lk/en/armee-teak-wooden-door-8-6-3-panels.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door 2/1 Panel,,27000.0,1.0,27000.0,https://stockpile.lk/en/armee-teak-wooden-door-2-1-panels.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door 2 Panels BA005,,28000.0,1.0,28000.0,https://stockpile.lk/en/armee-teak-wooden-door-2-panels-ba005.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door 2 Panels BA006,,28000.0,1.0,28000.0,https://stockpile.lk/en/armee-teak-wooden-door-2-panels-ba006.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door With Glass Panels BAG001,,30000.0,1.0,30000.0,https://stockpile.lk/en/armee-teak-wooden-door-with-glass-panels-bag001.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door With Glass Panels BAG002,,30000.0,1.0,30000.0,https://stockpile.lk/en/armee-teak-wooden-door-with-glass-panels-bag002.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door With Glass Panel BAG003,,30000.0,1.0,30000.0,https://stockpile.lk/en/armee-teak-wooden-door-with-glass-panel-bag003.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Armee Teak Wooden Door With 8 Glass Panels BAG004,,30000.0,1.0,30000.0,https://stockpile.lk/en/armee-teak-wooden-door-with-8-glass-panels-bag004.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,ICC Timber Solid Wooden Doors Teak/Mahogany/Jack 7ft x 3ft,,48380.000001,1.0,48380.0,https://stockpile.lk/en/icc-timber-solid-wooden-doors-teak-mahogany-jack-7ft-x-3ft.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,ICC Timber Solid Plywood Doors 7ft x 3ft,,41890.000001,1.0,41890.0,https://stockpile.lk/en/icc-timber-solid-plywood-doors-7ft-x-3ft.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,ICC Timber Engineered Timber Doors Teak/Mahogany 7ft x 3ft,,55460.000001,1.0,55460.0,https://stockpile.lk/en/icc-timber-engineered-timber-doors-teak-mahogany-7ft-x-3ft.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,ICC Timber Plywood Doors 7ft x 3ft,,15999.997601,1.0,16000.0,https://stockpile.lk/en/icc-timber-plywood-doors-7ft-x-3ft.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,Solid Plywood Door 7 x 3 ft,,8500.0,1.0,8500.0,https://stockpile.lk/en/solid-plywood-door-7-x-3-ft.html
2026-08-10T09:48:19+00:00,door_count,wood_composite,Sealcore Embossed Designer Wood Composite Door,,15015.500001,1.0,15015.5,https://stockpile.lk/en/mascons-sealcore-embossed-designer-wood-composite-door.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,Kadalana Plywood Glass Plywood Door,,15000.0,1.0,15000.0,https://stockpile.lk/en/kadalana-plywood-glass-plywood-door.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,Kadalana Plywood Normal Plywood Door,,7900.0,1.0,7900.0,https://stockpile.lk/en/kadalana-plywood-house-normal-plywood-door.html
2026-08-10T09:48:19+00:00,door_count,solid_timber_teak,Kadalana Plywood Teak Design Plywood Door,,10600.0,1.0,10600.0,https://stockpile.lk/en/kadalana-plywood-teak-design-plywood-door.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,Kadalana Plywood Embossed Plywood Door,,19500.0,1.0,19500.0,https://stockpile.lk/en/kadalana-plywood-embossed-plywood-door.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,Plywood Door,,6250.0,1.0,6250.0,https://stockpile.lk/en/asian-plywood-plywood-door.html
2026-08-10T09:48:19+00:00,door_count,plywood_flush,Kadalana Plywood Flush Door,,10900.0,1.0,10900.0,https://stockpile.lk/en/kadalana-plywood-flush-plywood-door.html
2026-08-10T09:48:19+00:00,roof_area_sqm,fiber_cement_sheet,EL Toro Fiber Cement Ceiling sheets 4' x 4' 4.5mm,,1350.0,,,https://stockpile.lk/en/finewood-el-toro-fiber-cement-ceiling-sheets-4-x-4-4-5mm.html
